topic	device	midi_channel	control_id	path_out	scale	enabled	led_color	path_out_long	press_mode
__menu_color__						1	white
btn/11	midicraft	1	21	/eos/key/color_palette && /eos/key/1 && /eos/key/0 && /eos/key/0 && /eos/key/1 && /eos/key/enter	1	1	white
btn/12	midicraft	1	22	/eos/key/color_palette && /eos/key/1 && /eos/key/0 && /eos/key/0 && /eos/key/2 && /eos/key/enter	1	1	white
btn/13	midicraft	1	23	/eos/key/color_palette && /eos/key/1 && /eos/key/0 && /eos/key/0 && /eos/key/3 && /eos/key/enter	1	1	white
btn/14	midicraft	1	24	/eos/key/color_palette && /eos/key/1 && /eos/key/0 && /eos/key/0 && /eos/key/4 && /eos/key/enter	1	1	white
btn/15	midicraft	1	25	/eos/key/color_palette && /eos/key/1 && /eos/key/0 && /eos/key/0 && /eos/key/5 && /eos/key/enter	1	1	white
btn/21	midicraft	1	26	/eos/key/color_palette && /eos/key/1 && /eos/key/0 && /eos/key/0 && /eos/key/6 && /eos/key/enter	1	1	white
btn/22	midicraft	1	27	/eos/key/color_palette && /eos/key/1 && /eos/key/0 && /eos/key/0 && /eos/key/7 && /eos/key/enter	1	1	white
btn/23	midicraft	1	28	/eos/key/color_palette && /eos/key/1 && /eos/key/0 && /eos/key/0 && /eos/key/8 && /eos/key/enter	1	1	white
btn/24	midicraft	1	29	/eos/key/color_palette && /eos/key/1 && /eos/key/0 && /eos/key/0 && /eos/key/9 && /eos/key/enter	1	1	white
btn/25	midicraft	1	30	/eos/key/color_palette && /eos/key/1 && /eos/key/0 && /eos/key/1 && /eos/key/0 && /eos/key/enter	1	1	white
